repo_id;label;url;new_message1;Decision;Rationale;predicted_decision;predicted_rationale
4;0;https://github.com/square/okhttp/commit/02b08fbde7b1726d7a4c0dc971152751ac82ca0a;"Allow HTAB in header values.  <enter> RFC 7230 section <version> allows HTAB ('	', 'u0009') inside header values as long as there is not more than one in a row:  <url>#section-<version>  <enter> Before this CL, OkHttp previously disallowed HTAB in header values. This CL changes behavior to allow any number of consecutive HTABs inside a header value; this is more permissive than the RFC, but is consistent with how OkHttp currently treats space characters (' ', 'u0020'). ";1;1;0;1
3;3;https://github.com/square/retrofit/commit/478e1ddfc774ae990a5efd3143c9e7e95994942c;Provide a setter to set strict mode to false ;1;0;0;0
2;2;https://github.com/apache/dubbo/commit/6a7717970fd3abde99651d405dc1fd75bedfac1c;Update  <file_name> <enter> fix the bug: cant enable override ;0;1;1;1
4;0;https://github.com/square/okhttp/commit/f87d32984dd9b1f5a7092b52dbecbafd784bd764;README: <iden> changes for OkHttp <version> ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076;Fix <issue_link> Java <iden> use '_' split language, country, variant. ( <pr_link> ) ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd;Ensure checking customizer ordering  <enter> See  <pr_link> ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/d6672afbee70a9fea98a876a225ccb7ea17e028a;polish  <method_name>  ( <pr_link> ) ;1;1;1;1
4;0;https://github.com/square/okhttp/commit/2f1e59e16792f4204dd5d03482b4bdc67554d7d6;Travis: Remove the duplicate addons directive ( <pr_link> ) ;1;1;1;0
4;2;https://github.com/square/okhttp/commit/638ae21c7a6edc0e51bc624a80dfbc6fb8aa4236;safer check for invalid values, without catching OOM ;0;1;0;1
2;2;https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728;Fix Dubbo-3990 <issue_link> ( <pr_link> ) ;0;1;1;1
1;0;https://github.com/junit-team/junit4/commit/178f854e4c7e31ece6d71f5aa4433f0432349f4f;Make stylistic changes  <enter> Put { on first line with a space before it ;1;1;1;0
3;3;https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f;Added a  <file_name>  rule for the line indentation  <enter> Change-Id: I94d7404cb05c192021a6f737ffa6cf8c3fe9a3fa ;1;0;1;1
5;2;https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Fix conditions that lead to auto-configure <iden>  <enter> See  <pr_link> ;0;1;1;1
4;0;https://github.com/square/okhttp/commit/8512256dff756888fc967f1763c3d882c892edda;change var to val, readonly is better ;1;1;0;1
1;0;https://github.com/junit-team/junit4/commit/6b97cfa77503a00416f401ad47f375f087e8c3cb;Fixed typo [<iden> -> <iden>] ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/2516dc033f909281702dfd2f99e8d0f05d59af8b;Fix documentation example  <enter> Previously, the nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment. The nested class should be public. <enter>  Closes <pr_link> ;1;1;1;1
4;0;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Convert  <file_name>  to Kotlin ( <pr_link> )  <enter> * Convert  <file_name>  to Kotlin <enter> * Idiomatic Kotlin <enter> * Revert back to if condition ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/0f9e8315bca4e3c8be824c2c1a1b7ec6defdc734;Replace use of deprecated Reactor <iden> in tests  <enter> Fixes <issue_link> ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/ce6e0d17005afd09c46e4fe6cf40643b0913c59d;"`<iden>` overload for ` <method_name> <enter> Functionally does nothing, just somewhat cleaner to be able to do `baseUrl(<iden>)` than `baseUrl(<iden>#toString());` if handling a `<iden>` rather than `String`. Used `HttpUrl.get(String)` as `HttpUrl.get(<iden>)` returns null instead of throwing an exception. ";1;1;1;0
5;0;https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c;Fix undertow access_log file name  <enter> Undertow <version> changed the default access log file suffix from '.log' to just 'log'. Thus we need to adapt the file name pattern to include the missing dot. <enter>  Closes <pr_link> ;1;1;1;1
1;2;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix  <method_name>  ( <pr_link> )  <enter>  <method_name>  should not match when the given <iden> has no failures. ;0;1;1;1
1;0;https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d;Ensure exceptions from <iden>() don't result in unrooted tests.  <enter> The introduction of the <iden>() method in  <file_name>  in <iden> <version> introduced a regression with regard to exception handling. <enter> Specifically, the invocation of <iden>() is no longer executed within a try-catch block as was the case in previous versions of <iden>. <enter> <iden> modifications to <iden>() or the methods it invokes may in fact throw exceptions. In such cases, exceptions thrown from <iden>() cause the current test execution to abort immediately. As a result, the failing test method is unrooted in test reports, and subsequent test methods are never invoked. Furthermore, RunListeners registered with <iden> are not notified. <enter> This commit addresses this issue by wrapping the invocation of <iden>() within a try-catch block. If an exception is not thrown, the resulting <iden> is passed to <iden>(). If an exception is thrown, it is wrapped in a <iden> statement which is passed to <iden>(). <enter>  Closes <issue_link> Closes <pr_link> ;1;1;1;1
1;3;https://github.com/junit-team/junit4/commit/01768666d362391a57a7e5989d23b6b1d1789eb0;Add info on --filter option ;1;0;1;0
1;0;https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c;Fix dead link to the ant task in  <file_name>  ( <pr_link> )  <enter> <iden> to the ant junit task has been moved to another location. ;1;1;1;1
4;0;https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d;Doc:  <file_name>  should be treated as immutable once shared  <enter> ...given that requirement, it's safe for many threads to call the open() method concurrently to open their own connections. <enter>  <pr_link> ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Fix typos in the documentation: though -> through  <enter> Closes <pr_link> ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/53dca537089441e84160391c8f7efd7b40dd9155;Remove redundant judgment ( <pr_link> ) ;1;1;1;1
1;0;https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4;<pr_link> Fix many warnings (Eclipse <version>/Juno based)  <enter> - Enh: add new 'staticondemandthreshold' setting to eclipse project jdt.ui preference settings file (although this is in fact not related to kcooney's import ordering change comment) ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/00a2db876fc5c0447a3617837894f30890cde367;Adding GET support to  <file_name>  ;1;0;1;1
4;0;https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7;fix small types in the changelog ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/93842291b6339a104fa781308ee19961e905abbe;Using <iden> in readme instead of <iden> ;1;0;1;0
5;0;https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2;Use try-with-resources in  <file_name> <enter> See  <pr_link> ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/5668d740766f6303e789f072100cd235e4b67582;Fix export provider error, change to catch throwable, handle NoClassDefFoundError ( <pr_link> ) ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/90378c89a68386b145f66b5fc2e1521d0d2b0e1d;Update Scala dependency ;1;0;0;0
1;3;https://github.com/junit-team/junit4/commit/6b943e564adcc9a7106e54c24eb5d022bed1462f;changed the <iden>() method to accept a <iden> instead of an explicit <iden> and made some documentation changes ;1;0;1;1
1;3;https://github.com/junit-team/junit4/commit/aff46c491d590ff2fcc43d0eaa0049593f6169b4;closed method <iden> with } ;1;0;1;0
1;0;https://github.com/junit-team/junit4/commit/3171c4b29cb207e71fc2f752f0fbcb235bc8e784;Relicense <iden> from CPL to EPL  <enter> EPL is the successor version of the CPL this makes re-licensing possible without seeking the approval of all contributors. <enter> CPL is actively hurting <iden> adaptation, it the following cases the deciding factor against <iden> was CPL. In both cases EPL would have been fine. * Netbeans can't ship <iden> [4] * OpenJDK uses TestNG instead of <iden> [5] <enter> Mike Milinkovich from the <iden> wrote [1] <enter> > Back in 2009, the CPL was superseded by the EPL. This means that the > EPL is the successor version of the CPL. It also means that using the > CPL is the licensing equivalent of using deprecated code. > > Because the EPL is the successor version to the CPL, the 'new version > re-licensing' clause in <iden> 7 of the CPL applies. In other words, > you can re- <file_name>  your project without seeking the approval of all > of your contributors. > The CPL and EPL basically differ by about one sentence, which you can > see here. The difference relates to the scope of patent licenses > terminated should someone sue another party for patent infringement. > This is the kind of stuff that lawyers love, but most developers > don't really care about. <enter> On the migration from CPL to EPL Mike Milinkovich wrote [2] <enter> > There was a two step process that was followed to make this happen. > First, following the terms of the CPL, <iden> assigned the > responsibility to serve as the <iden> of the CPL to the > <iden>. Second, the <iden> officially > recognized the EPL <version> as the new version of the CPL <version>. In OSI >  <file_name>  terminology, the EPL now supersedes the CPL. > > A quick read of the two licenses will quickly show that they are very > very close. Other than their names and (previously) their <iden> > Stewards, the only substantive difference is the breadth of the > patent  <file_name>  termination in the event of a patent law suit. (See > the second paragraph of <iden> 7.) For more information on the > relationship between the CPL and the EPL see the EPL  <method_name>  <enter> You can find more information about the difference at [3]. <enter> The new ` <file_name> ` is based on a plain text version of the EPL with formatted so that the diff is a clean as possible. <enter> I'll submit another pull request for the gh-pages branch. <enter>  [1]  <url> [2]  <url> [3]  <url>#EPLDIFFER [4]  <url>#deprecated [5]  <url> ;1;1;0;1
1;0;https://github.com/junit-team/junit4/commit/392c673b5f35c2c72f74a15b24afff338ba4e3a7;Updated URL to <iden>'s code style repository.  <enter> Document indent size. <enter> Updating code style as per  <pr_link> ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/f4ee9e28a6380662ea0ab8a9a02adbd021ef55e8;Added more tests for <iden> type support  <enter> <iden>.toBlocking() is present since <iden> <version> version. ;1;1;1;0
1;0;https://github.com/junit-team/junit4/commit/3189af007b26d74ca459f823d57ef77b9c1697b8;Remove redundant field <iden> ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/98644df64dd4e2c0b72a5353418b31e083b63cd9;Stop limiting layer customization to external modules  <enter> See  <pr_link> ;1;1;0;0
3;2;https://github.com/square/retrofit/commit/1f0920af8eb159eec3c41f159adb3d790fdff5b8;UserService example in  <file_name>  should be an interface ;0;1;0;1
3;0;https://github.com/square/retrofit/commit/a429ea6f0745532f04a8c483e0b6bd0ca4a6674c;Update to Gson <version>. ;1;1;0;1
4;0;https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387;Update README.md -> <iden> moved to Github ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/9159571ec483f5b798e85c2ee94673fa1075384c;Last argument should be handled for observable methods ;1;0;1;0
1;2;https://github.com/junit-team/junit4/commit/b19ff583ce5cb5527dab83a1f336c7526463dac4;Fixed failing tests when running on Windows.  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. String.format with '%n' produces a platform dependent line separator. <enter>  Closes <pr_link> ;0;1;0;1
1;2;https://github.com/junit-team/junit4/commit/ebb9d7f536a5b1be8364c6cb7367cac8c3849caa;Implemented the changes proposed davidhart82 ;0;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/a8af25476577999c33c34f5971a03251658c340d;Fix description of test file to be tests.groovy  <enter> Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect 'Hello <iden>!' rather than 'Hello <iden>'. <enter>  Closes <pr_link> ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/7daade21c4ef296499f11d0413c91d9e029bc576;Support escaped characters in  <file_name> <enter> This commit adds the ability to have escaped characters, like the quote, when using the  <method_name>  It also adds a short test for escaped quotes. <enter>  Closes <pr_link> ;1;1;1;1
4;3;https://github.com/square/okhttp/commit/4910039a572abc6d20cac48eb2c5e92591520537;Support querying & setting transport lists on connections.  <enter> The list is specified via a magic request property '<iden>' and can be queried via the request property '<iden>'. <enter> System wide defaults / switches don't need any changes to okhttp. They can be set as options on the OkHttpClient used by the platform UrlStreamHandlers. ;1;0;1;1
3;0;https://github.com/square/retrofit/commit/b3fcdca9939f376d9f825bb6ccaeeaa97c0f8325;Fix inconsistencies in javadocs.  <enter> These changes were made with consistency in mind, in relation to the rest of the project:  - Change self-closing <p/> tags to regular <p> tags.  - Add missing <p> tags. ;1;1;1;1
1;0;https://github.com/junit-team/junit4/commit/9bad8ce0a56d056ec3b7166351b7405c8be7e834;License link on junit.org  <enter> Added prominent link to the project's license. <enter> This patch  fixes <issue_link> . <enter> ;1;1;0;0
2;2;https://github.com/apache/dubbo/commit/bcb6eeec1d978d6d572ebec875d34dc64aeb5121;fix return type ( <pr_link> ) ;0;1;1;1
4;0;https://github.com/square/okhttp/commit/16f1d048165d2bf0aee4833ff7d8b415f537ce64;api has changed, fixing the example ;1;1;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/b7847d98a780c14ba9b1eec62b04acff9bf3c97d;Auto-configure Neo4J <iden> when possible  <enter> Add ` <file_name> ` which provides an instance of `<iden>` if necessary and <iden> cache is on the classpath. Depending on the kind of application, the `<iden>` will be request scoped or singleton, as recommended by <iden>. <enter> See  <pr_link> ;1;1;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/1cc0b19f291ee4eb8a69eacc142da987cce337a9;Upgrade to Dropwizard Metrics <version>  <enter> Closes <pr_link> ;1;1;0;1
4;0;https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb;`response` receives null explicitly from several catch clauses => Fix nullability (override default parameter nullability set at package-info). ( <pr_link> ) ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/e8e30931a53393becb20556f579685141e733a19;Add default constructor to  <file_name>  ;1;0;1;1
1;3;https://github.com/junit-team/junit4/commit/0b62513fa20ea3975a580e5b89dad265f54d6112;Simplifying isEqualsRegardingNull. ;1;0;0;1
4;0;https://github.com/square/okhttp/commit/8f8018ce5d712af94c31254763d70d047adcb4e1;updates junit version to <version> ;1;1;0;1
4;3;https://github.com/square/okhttp/commit/bebea4679ead5f9779ad00c3570ea68eb2a8dea7;Log favicon request instead of using standard output ;1;0;1;0
4;0;https://github.com/square/okhttp/commit/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50; <file_name>  snapshot() method removing entries that are being cached (<pr_link> ) <enter> Fixed a bug I found. When using  <file_name> , <iden>() method of <iden>> returned by snapshot() method iterates through lruEntries, however if entry is not completed yet, it is removed (together with dirtyFiles) as cleanFiles don't exist yet - during saving response to disk. This caused sometimes file not being cached at all. ;1;1;1;1
5;3;https://github.com/spring-projects/spring-boot/commit/1cbef022360a88f8cd45b838c2d615a8450465f9;Add messagecode resolver format based on application property ;1;0;1;0
2;0;https://github.com/apache/dubbo/commit/f9f10ba5225e80c34953f56123ac1702c13e45c7;In order to facilitate the consumer to better locate the failure of provider token check, the token value called by consumer will be printed out in the exception information ( <pr_link> ) ;1;1;1;1
3;2;https://github.com/square/retrofit/commit/15f73966ee4e7d355cc0b9839f2103ae9684f72f;baseUrl should end with '/' ;0;1;1;1
4;0;https://github.com/square/okhttp/commit/dabbd56572089cfef00d358edcc87b3f5c73e580;Update README.md ( <pr_link> ) ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/408a975f4c35438118f613bbeed912e1b0f71ec3;Update multipart documentation. ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/1fa1ed2b2805f731dcdf30327a5ff0b92ccf55e3;Document <iden> response format of health endpoint  <enter> Add <iden> response format details for health endpoint, including default status codes and sample responses. <enter> See  <pr_link> ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/624d3aea9c1f1f7759c71b00dd38a9bdb720cd8d;Support protocol config for  <file_name>  annotation ( <pr_link> ) ;1;1;1;1
3;3;https://github.com/square/retrofit/commit/5590cade0203bebe3d6e900eaee3b66d70ff487a;add support for Observable requests with <iden>  <enter> <iden> interface methods may now specify Observable as a return type. ;1;0;0;0
2;0;https://github.com/apache/dubbo/commit/7a73b3f86a0fbf75f7c190b813dace642bd4a9c7;[Dubbo-5592] simplify code for getExtensionLoader method ( <pr_link> ) ;1;1;1;1
2;3;https://github.com/apache/dubbo/commit/841f6c2612d049ac0aa8bcbb6a00dad8d77a6fca;add <iden> for dynamicly created class ;1;0;1;1
2;3;https://github.com/apache/dubbo/commit/105a0c7d11d6e96f6ba692751b805a4a522dbd32;set <iden> for newly generated <iden> ;1;0;0;0
4;2;https://github.com/square/okhttp/commit/d3a92ff9d511b40ce65f24f95901f53a1240dc74; <file_name>  3 support length 0 header value ;0;1;0;1
4;2;https://github.com/square/okhttp/commit/1c90331a3dc9856e31fac14b58d856cb2dd83d89;getMtu issue ;0;1;0;0
2;2;https://github.com/apache/dubbo/commit/2300fca22f4534b11ecaed3a7ba4e5a8de82773f;Package name error ( <pr_link> ) ;0;1;1;1
4;3;https://github.com/square/okhttp/commit/1192af61fd1f6a102a7d74422e83dfb1fc9a94b9;Add current AOSP class name for <iden>  <enter> AOSP moved <iden> to com.android.org.conscrypt.* so add that as the first choice for unbundled apps. <enter> Change-Id: I7bad6533dcb86ee1cac3b15f42dd386bd651eaed ;1;0;1;0
3;3;https://github.com/square/retrofit/commit/17bc62131d9b7ee88277bbc63d2cdb94a25b4a75;add paragraph clarifying logging ;1;0;1;1
4;3;https://github.com/square/okhttp/commit/4f0cf03bed4180e4e277a99e1194cc17b0d198d4;Expose running and queued call counts for monitoring ;1;0;1;0
2;1;https://github.com/apache/dubbo/commit/6002838cf7a80f1d9fd230051e5977e0d0e8e183;rm dubbo-admin ;0;0;0;1
2;2;https://github.com/apache/dubbo/commit/bfac27b7fe7fb1e5439604a73e0fe59db01f1457;DUBBO-135 fix test case  <enter> <url> ;0;1;1;1
1;0;https://github.com/junit-team/junit4/commit/0e64f5c9d8626c95c7da36186312a76524ff7b15;Update CONTRIBUTING.md ;1;1;0;0
5;0;https://github.com/spring-projects/spring-boot/commit/205fa2507b019f5e1348f6bc554fdd18691152ba;Remove maven-eclipse-plugin as it has been retired  <enter> Closes <pr_link> ;1;1;1;0
4;3;https://github.com/square/okhttp/commit/c951e6ed887ad8b9595652f39dad646590b22037;APIs to set date  <file_name>  ;1;0;0;0
5;0;https://github.com/spring-projects/spring-boot/commit/ee37dc1c31e2975a905e2e94bfecec3cf5e1c016;Make sure exception tag values are not empty in web metrics  <enter> See  <issue_link> ;1;1;1;0
3;0;https://github.com/square/retrofit/commit/329a9fda122f29a40f49482d421f260bf148ee83;Ability to add Http status code to  <method_name>  ( <pr_link> ) ;1;1;1;1
4;3;https://github.com/square/okhttp/commit/a0b9308d270c6d107c57adb1d017901897b5c9a4;Update Javadoc example ;1;0;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/49ef93602e4db89944a5897fb250121186161d2c;Add external-file-property to  <file_name> <enter> Add an additional property to  <file_name>  to allow log files to be read from an external location. This is helpful when a launch.script is used to start the boot-application and the logfile is written by a redirect of stdout/stderr. <enter>  Fixes <issue_link> Closes <pr_link> ;1;1;0;1
3;0;https://github.com/square/retrofit/commit/9562b46c222aeac64daa9539b2fcbcb3fb1d9184;Bump jackson-databind to <version> ;1;1;0;1
3;0;https://github.com/square/retrofit/commit/6c0ea7deefe4a884ac50080547654e4dee27cf3d;Updating dependencies version ;1;1;0;1
3;0;https://github.com/square/retrofit/commit/26d19ea8877696a253be8c00b2baed6b359baaa2;Java 7 is required since <otherCommit_link> ;1;1;0;1
3;3;https://github.com/square/retrofit/commit/a10def06d7a3ec75de30fee9c2dfd47837201eba;Add response object to  <file_name>  success.  <enter> Gives access to response headers while still converting response within retrofit. ;1;0;1;1
2;2;https://github.com/apache/dubbo/commit/e35084015b6af5b39fe8dca279202e81d59ce082;fix <iden> and retries in  <file_name>  ( <pr_link> ) ;0;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/fe6da39e1bf1fae0f5c725c9ffb7b28f386f9eec;Remove boxing  <enter> See  <pr_link> ;1;1;1;0
4;2;https://github.com/square/okhttp/commit/35b031fb63534b9664e622ca4ecf5b19536f63a8;Fix mockwebserver jar download 404 ;0;1;1;1
1;0;https://github.com/junit-team/junit4/commit/3920f3fe11dffc904e1ab41a9ff4fc9d36b1c25b;Making <iden> and <iden> member classes as suggested.  <enter> <pr_link> ;1;1;0;1
4;3;https://github.com/square/okhttp/commit/e7a704a1cea504d293eec9c93cf4dcaa4ec376f3;Update javadoc ;1;0;0;0
3;3;https://github.com/square/retrofit/commit/39394b302809f80c1e089a194862094d16fc3eca;Okio proguard rules link ;1;0;0;1
4;0;https://github.com/square/okhttp/commit/1801d0cb2c7132a97c3e9c011a8546f883dfcf12;update proguard rules on README.md ( <pr_link> ) ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/26345d39003514348ca0be2f9c350c92b5cf3ef7;Polish docs  <enter> This commit replaces tabs to spaces in a yaml example for configuring endpoint web exposure include. <enter>  Closes <pr_link> ;1;1;1;0
5;2;https://github.com/spring-projects/spring-boot/commit/560ffc905661a8981f7845cc8e8d95e9bec835c6;Do not attempt to restart non-restartable jobs  <enter> Closes <issue_link> ;0;1;1;0
3;2;https://github.com/square/retrofit/commit/f1d7acb377874a102a5e14eb64a70271975c167a;fixed javadoc ;0;1;1;0
5;0;https://github.com/spring-projects/spring-boot/commit/d6bd120b2c4230acb101c424a0e5ba8aa4b40b82;Remove unused  <file_name>  from spring-boot-sample-tomcat  <enter> Closes <pr_link> ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/569830cdca387974cc731979c3895bed6ff68189;Migrate  <file_name>  to <iden> 5  <enter> See  <pr_link> ;1;1;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/69bc19e0ca6925b7d526942afd18e95b4e28fa8f;Use lambdas for map entry iteration where possible  <enter> See  <pr_link> ;1;1;0;0
1;2;https://github.com/junit-team/junit4/commit/dda4d08fc64933a8e4af33b745bd8219682b7bcb;Fixes imports ;0;1;1;1
1;3;https://github.com/junit-team/junit4/commit/32330b13f2ded8603665264f8400ddf1f6dd969a;make  <method_name>  a deterministic comparator, with Method.toString used as a tiebreaker ;1;0;1;0
3;3;https://github.com/square/retrofit/commit/0284a813dbd69be3f13fb60fe3be128379df7a64; <file_name> : Support <iden> / <iden> for @field ;1;0;1;1
2;3;https://github.com/apache/dubbo/commit/7e0ef420b63b418baf182cbc92dce7cc795fa2b8; <file_name>  try to load from itself <iden> when can not find resources. ;1;0;0;1
3;0;https://github.com/square/retrofit/commit/d32c626ed0da7001aa533ba32c9752c77cdc71a9;Close ResponseBody on 204/205 to avoid connection leak ;1;1;0;1
2;0;https://github.com/apache/dubbo/commit/a5cc7a26179aab97b3bee3fcc93fe90ac0ecb29f;reduce the level of request data in timeout log ( <pr_link> )  <enter> to control the size of log ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/3b03c3f29807b654b12af5376ecedd494be12acb;[Dubbo-4863] add switch of generic invocation with class info ( <pr_link> )  <enter> fix <issue_link> ;1;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/599792097cfc690d2adf52a6c4d4f98c44a77162;Upgrade Spring WS to <version>  <enter> Closes <pr_link> ;1;1;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/6fcbf80b31b33ca725c58e785ae257c8dcb2f627;Add support for additional <iden> listener properties  <enter> See  <pr_link> ;1;1;1;0
1;3;https://github.com/junit-team/junit4/commit/32f3c6292808f793a50821dac3fec3bad3b661c9;Replaced <br> with </p><p> in  <method_name> <enter> @dsaff @kcooney , I have replaced the <br> tag with the <p> tags. It should be fine now. Thank you  @kcooney  for spotting the issue :) ;1;0;0;1
1;0;https://github.com/junit-team/junit4/commit/ad9972ba5d135d1c5673f0773cb7027f7823feb5;Prefer interfaces over concrete classes  <enter> Makes code easier to scan by removing unnecessary noise. ;1;1;0;1
5;0;https://github.com/spring-projects/spring-boot/commit/14bd404b71fcb967d4af282e839a763112ecd40c;Document <iden>  <file_name> <enter> Update the reference documentation to include details of <iden>. <enter>  Closes <pr_link> ;1;1;1;1
4;0;https://github.com/square/okhttp/commit/e7a04f92a2f5d1fa13866b333dada999c3c11fd8;Release websocket transmitter before failing response <issue_link> ;1;1;0;0
