Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Support escaped characters in <file_name>  ;This commit adds the ability to have escaped characters, like the quote, when using the <method_name>. Also adds a short test for escaped quotes.;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5768318176269531
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.6562703251838684
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Contradicts;0.56508469581604
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.687795102596283
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Fix  <file_name>  javadoc;Fix;Contradicts;0.5064754486083984
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.880591869354248
Add <iden> response format details for health endpoint, including default status codes and sample responses;Document <iden> response format of health endpoint, See <pr_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.6184724569320679
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5373698472976685
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.7166166305541992
Remove unused <file_name> from spring-boot-sample-tomcat;Closes <pr_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.635815441608429
Update the reference documentation to include details of <iden>;Closes <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.5351370573043823
Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Polish new layered jar support;new layered jar support;Contradicts;0.5320499539375305
Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.9031075239181519
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.6786366105079651
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Contradicts;0.5408110618591309
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Contradicts;0.5853833556175232
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8764764666557312
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.824759304523468
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.6791859865188599
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5749022960662842
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.893921434879303
Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5756296515464783
Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.639961838722229
Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5251744985580444
Improve startup times by adding more background pre-initializers and lazily evaluating the whitelabel SpEL view  ;(although not by much);Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Contradicts;0.689074695110321
Improve startup times by adding more background pre-initializers and lazily evaluating the whitelabel SpEL view  ;(although not by much);Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5972370505332947
Fix tests failing on Windows;tests failing on Windows;Remove unfixable <iden> ;unfixable;Contradicts;0.8766112923622131
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";No-op <file_name> when <iden> is not present  ;Closes <issue_link>;Contradicts;0.582481324672699
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Remove unfixable <iden> ;unfixable;Contradicts;0.5827378034591675
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Contradicts;0.8104891180992126
Reinstate devtools debug logging with opt-out;Reinstate `web` logging when devtools is in use, making use of the new logging groups support;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5332706570625305
Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.8155087828636169
Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Contradicts;0.5276257395744324
Fix failing test;failing;Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Contradicts;0.5063008666038513
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Polish Document how to add metadata for collection and enum default values;Closes <issue_link>;Contradicts;0.6969442963600159
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Contradicts;0.5429134368896484
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Define shell.ssh.port and shell.telnet port as integer properties  ;So that the generated meta-data exposes the proper type;Contradicts;0.5219376087188721
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Polish Auto-detect jOOQ dialect;Closes <pr_link>;Contradicts;0.5847046375274658
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Avoid blocking on a <iden> indefinitely;Closes <issue_link>;Contradicts;0.5767496228218079
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8755148649215698
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Remove unfixable <iden> ;unfixable;Contradicts;0.5341390371322632
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.5354383587837219
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5127116441726685
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.8564995527267456
Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Contradicts;0.6170850396156311
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Contradicts;0.5609259605407715
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Avoid blocking on a <iden> indefinitely;Closes <issue_link>;Contradicts;0.5150108933448792
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.804205596446991
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Avoid creating unnecessary garbage during <iden> normalization <enter> Closes <issue_link>;Closes <issue_link>;Contradicts;0.6582362055778503
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.75400710105896
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5839433670043945
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Rename samples to smoke tests;Closes the <issue_link>;Contradicts;0.6404645442962646
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Contradicts;0.7719044089317322
Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;No-op <file_name> when <iden> is not present  ;Closes <issue_link>;Contradicts;0.583741307258606
Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.6191907525062561
Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;Apply consistent formatting, drop JDK 8 support, and cleanup repo locations to use spring.io.  ;Polish, consistent formatting, drop JDK 8 support, cleanup repo locations to use spring.io.  ;Contradicts;0.5957158803939819
Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Contradicts;0.8694391250610352
Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.9265562891960144
Fix <file_name> outer class tangle;Fixes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.83915114402771
Fix <file_name> outer class tangle;Fixes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.8433097004890442
Fix <file_name> outer class tangle;Fixes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6680751442909241
Fix <file_name> outer class tangle;Fixes <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.8728055953979492
Fix mapping of <iden>s idle-timeout and heartbeat-interval  ;Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types.;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.51728355884552
Fix mapping of <iden>s idle-timeout and heartbeat-interval  ;Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types.;Remove unfixable <iden> ;unfixable;Contradicts;0.5184558033943176
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8447281122207642
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6520030498504639
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Contradicts;0.5078757405281067
Fix encoding of @bean in reference documentation;Closes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.7681174278259277
Polish Document how to add metadata for collection and enum default values;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5182251334190369
Polish Document how to add metadata for collection and enum default values;Closes <issue_link>;Fix documentation for health endpoint security  ;Fixes <issue_link>;Contradicts;0.567490816116333
Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.561331033706665
Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;Remove unfixable <iden> ;unfixable;Contradicts;0.923861026763916
Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.5854235887527466
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Remove unfixable <iden> ;unfixable;Contradicts;0.7993239760398865
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Update Spring <iden> auto-configuration so that `<iden>` from `<iden>` is implicitly applied.;Prior to this commit `<iden>` interfaces would only get picked up if `<iden>` was added alongside with the `@SpringBootApplication`.;Contradicts;0.7673505544662476
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.504326581954956
Notify the use of logback specific system property;Users following the logback documentation can be confused at first so were not logging a warning when we found out that the logback specific property has been specified.;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5201159715652466
Add option to  <file_name>  devtools from fat jar;removes `org.springframework.boot:spring-boot-devtools` (if necessary) when repackaging the application;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.7207278609275818
Define shell.ssh.port and shell.telnet port as integer properties  ;So that the generated meta-data exposes the proper type;Polish Auto-detect jOOQ dialect;Closes <pr_link>;Contradicts;0.5184618830680847
Define shell.ssh.port and shell.telnet port as integer properties  ;So that the generated meta-data exposes the proper type;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5556193590164185
Improve <iden> documentation for reactive applications;Closes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5195670127868652
Fix meta-data for spring.devtools.remote;See <issue_link>;Avoid blocking on a <iden> indefinitely;Closes <issue_link>;Contradicts;0.5668929219245911
Fix meta-data for spring.devtools.remote;See <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5407438278198242
Fix meta-data for spring.devtools.remote;See <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.9702882766723633
Fix meta-data for spring.devtools.remote;See <issue_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.9346824884414673
Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.570153534412384
Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5344301462173462
Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Rename samples to smoke tests;Closes the <issue_link>;Contradicts;0.5056393146514893
Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.6477416753768921
Fix broken build;broken;Test that <iden> works when thread is interrupted  ;Update RandomAccessDataFile to acquire the semaphore uninterruptibly to allow loading classes or resources on an interrupted thread;Contradicts;0.5929396152496338
Try to make <file_name> less flakey;Closes <issue_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.6288988590240479
Try to make <file_name> less flakey;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.7101140022277832
Update view of bean types when an override is detected;Previously, when a bean was overridden and its type changes, \<file_name> could be left with a stale view of the beans type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the beans old type.;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6142222881317139
Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6739319562911987
Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5359376668930054
Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Remove unfixable <iden> ;unfixable;Contradicts;0.8599514365196228
Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.722064197063446
Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.6843975186347961
Avoid creating unnecessary garbage during <iden> normalization <enter> Closes <issue_link>;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.629195511341095
Avoid creating unnecessary garbage during <iden> normalization <enter> Closes <issue_link>;Closes <issue_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Contradicts;0.6118589043617249
Ensure that AWTError from  <file_name> does not prevent app starting;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5960474014282227
Ensure that AWTError from  <file_name> does not prevent app starting;Closes <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.515333890914917
Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.5725986361503601
Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Blitz some more special characters from the metric names  ;When MVC path matchers are used as metric keys, they can still contain invalid characters and patterns (like asterisks). This change removes some more special characters and also tidies up the names a bit so no key part starts or ends with - (which is ugly);Contradicts;0.5224202871322632
Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5297918915748596
Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Rename samples to smoke tests;Closes the <issue_link>;Contradicts;0.6707995533943176
Remove duplicate console appender from Actuator samples <file_name> config;Closes <issue_link>;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Contradicts;0.5440850257873535
Update <file_name> config to look for minor version upgrades;look for minor version upgrades;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6576970219612122
Update <file_name> config to look for minor version upgrades;look for minor version upgrades;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.9223552346229553
Improve diagnostics when <file_name> type deduction fails;previously, this failure was only logged as a debug message, leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly.;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.7508017420768738
Improve diagnostics when <file_name> type deduction fails;previously, this failure was only logged as a debug message, leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly.;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5130375623703003
Remove non-existent starter from dependencies;non-existent;Add missing dependency;missing;Contradicts;0.5589361190795898
No-op <file_name> when <iden> is not present  ;Closes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6764208078384399
No-op <file_name> when <iden> is not present  ;Closes <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5813256502151489
