Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5696312785148621
add switch of generic invocation with class info  ;fix;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.6021525859832764
add switch of generic invocation with class info  ;fix;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5385092496871948
add switch of generic invocation with class info  ;fix;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.9165763854980469
add switch of generic invocation with class info  ;fix;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.813592255115509
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Contradicts;0.7302521467208862
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5343967080116272
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.5099112391471863
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5283148884773254
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.6434628963470459
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5615065693855286
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.7367498278617859
return default value if not implemented;not implemented;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.6236183047294617
return default value if not implemented;not implemented;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5670816898345947
return default value if not implemented;not implemented;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6747992038726807
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.6983977556228638
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;dont set port attribute; <file_name>  is null;Contradicts;0.5585363507270813
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5204379558563232
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.5467069149017334
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Contradicts;0.6916444301605225
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5966588258743286
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6652204990386963
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5357597470283508
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.5014616250991821
Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.676775336265564
Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.5798516273498535
Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6959670782089233
Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5458411574363708
add comment for <file_name>;see <issue_link>;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.6634865999221802
add comment for <file_name>;see <issue_link>;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5288899540901184
add comment for <file_name>;see <issue_link>;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.7351986765861511
add comment for <file_name>;see <issue_link>;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.9962360262870789
add start status for <iden> server  ;-;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5314281582832336
add start status for <iden> server  ;-;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.8858646154403687
add start status for <iden> server  ;-;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6474823951721191
add start status for <iden> server  ;-;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.8400682210922241
add gpg signing plugin for protobuf compiler ;for protobuf compiler;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5045346021652222
add gpg signing plugin for protobuf compiler ;for protobuf compiler;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.9625242948532104
add gpg signing plugin for protobuf compiler ;for protobuf compiler;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.8069577813148499
fix parameters could be null;fix parameters could be null;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.7064862251281738
fix parameters could be null;fix parameters could be null;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5815228223800659
fix parameters could be null;fix parameters could be null;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6862720847129822
Shorten the life cycle of <iden>;to get a better gc effect ( <pr_link> );"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6230316162109375
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Remove call of deprecated method;Deprecated;Contradicts;0.5840749740600586
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.8508493304252625
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5681923627853394
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;fix dubbo.properties cannot work on <iden>;dubbo.properties cannot work on <iden>;Contradicts;0.5563873052597046
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.8744178414344788
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6027210354804993
implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.647977888584137
revert (<pr_link>);performance tuning;Enhancement;file_name, pr_link;Contradicts;0.5496729016304016
revert (<pr_link>);performance tuning;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5247220993041992
revert (<pr_link>);performance tuning;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5252816081047058
revert (<pr_link>);performance tuning;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.5116015672683716
Save <file_name> allocation;Performance tuning;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.8602511286735535
Save <file_name> allocation;Performance tuning;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.7239245176315308
Save <file_name> allocation;Performance tuning;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.5187241435050964
Save <file_name> allocation;Performance tuning;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Contradicts;0.848916232585907
Save <file_name> allocation;Performance tuning;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5814936757087708
Save <file_name> allocation;Performance tuning;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.5133165717124939
fix conflicts after merged master;after merged master;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5746659636497498
fix conflicts after merged master;after merged master;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5151078701019287
fix conflicts after merged master;after merged master;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6794342994689941
Solve compile problem in java11  ;java11;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5932151675224304
Solve compile problem in java11  ;java11;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.6431695222854614
Solve compile problem in java11  ;java11;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.7015150785446167
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.9365214705467224
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5929237008094788
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.6259680390357971
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.7562258243560791
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5497158169746399
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.716414213180542
Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.5063690543174744
Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5062598586082458
Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.6454108357429504
Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6748501062393188
Check config instance in <file_name> before create a new one;"-

None";Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.5608768463134766
Check config instance in <file_name> before create a new one;"-

None";Fix random ut falling in \<file\_name\> ( \<pr\_link\> )  ;random ut falling;Contradicts;0.5983012318611145
Check config instance in <file_name> before create a new one;"-

None";Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5712565183639526
Check config instance in <file_name> before create a new one;"-

None";fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.7063578963279724
Check config instance in <file_name> before create a new one;"-

None";fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5740331411361694
Check config instance in <file_name> before create a new one;"-

None";Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6468715071678162
Check config instance in <file_name> before create a new one;"-

None";"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5409402251243591
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.7564400434494019
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.6579881310462952
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.7322376370429993
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.6779086589813232
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;dont set port attribute; <file_name>  is null;Contradicts;0.5620463490486145
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.7208361625671387
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.689184308052063
